TOPICS,Question,Option A,Option B,Option C,Option D,Correct Answer
C,99. Which one is not a keyword in C?,TRUE,if,sizeof,do,A
C,100. Which data type is used to store real constants in C?,float,double,char,int,A
,,,,,,
,,,,,,
C++ language,1. Which of the following is used to declare a class in C++?,class,struct,object,module,A
C++ language,2. What does the keyword virtual indicate in C++?,Runtime polymorphism,Compile-time polymorphism,Variable declaration,Loop control,A
C++ language,3. Which operator is overloaded to access members of a pointer to a class object?,->,.,*,&,A
C++ language,4. What is the default access specifier for members of a class?,private,public,protected,none,A
C++ language,5. Which of these is used to handle exceptions in C++?,try-catch,throw-except,catch-throw,try-except,A
C++ language,6. What feature allows the creation of new data types from existing ones?,Inheritance,Encapsulation,Polymorphism,Abstraction,A
C++ language,7. Which of the following is not a valid access specifier in C++?,private,protected,public,package,D
C++ language,8. What keyword is used to define a constant in C++?,const,final,constant,#define,A
C++ language,9. Which of the following supports function overloading?,C++,C,Java,Python,A
C++ language,10. What is a constructor in C++?,A special function to initialize objects,Function to delete objects,Function to copy objects,Operator to create objects,A
C++ language,11. Which operator cannot be overloaded?,::,+,-,*,A
C++ language,12. What is the size of a pointer in 64-bit systems?,8 bytes,4 bytes,2 bytes,16 bytes,A
C++ language,13. How is polymorphism achieved in C++?,Function overloading and virtual functions,Class inheritance,Operator overloading,All of the above,D
C++ language,14. Which of the following is used to access members of a base class in derived class?,scope resolution operator (::),pointer (->),dot (.),address-of (&),A
C++ language,15. Which of the following is correct syntax for inheritance?,class Derived : public Base {};,class Base : public Derived {};,class Derived inherits Base {},class Derived extends Base {},A
C++ language,16. What is the purpose of the friend keyword in C++?,To allow non-member access,To declare inheritance,To create a constructor,To define a macro,A
C++ language,17. Which of the following is the correct syntax to declare a template?,template<typename T> class MyClass;,generic<class T> class MyClass;,template class MyClass<T>;,class template MyClass<T>;,A
C++ language,18. Which construct in C++ allows memory management?,new and delete,malloc and free,alloc and dealloc,create and destroy,A
C++ language,19. What is the meaning of 'const' after a member function declaration?,The function doesn’t modify the object,The function is constant,The function returns const value,The function cannot be overloaded,A
C++ language,20. What does RAII stand for?,Resource Acquisition Is Initialization,Runtime Assignment Is Injection,Resource Allocation Initalizer,Run-time Allocation Is Initialization,A
C++ language,21. Default arguments in functions are specified:,From right to left,From left to right,Anywhere,None of the above,A
C++ language,22. The C++ Standard Template Library (STL) does NOT provide:,Vectors,Queues,Arrays,Networking libraries,D
C++ language,23. Which of the following containers is fastest for accessing elements by index?,vector,list,deque,set,A
C++ language,24. What is the result of dynamic_cast if the cast fails?,nullptr,Exception thrown,Undefined behavior,Null reference,A
C++ language,"25. In C++, a pure virtual function is declared as:",virtual void foo() = 0;,void virtual foo();,virtual void foo() {0};,void foo() = virtual 0;,A
C++ language,26. What is the use of the 'mutable' keyword?,Allows modification even in const objects,Marks a variable as thread-safe,Makes a variable static,Prevents variable modification,A
C++ language,27. What is function overloading?,"Same function name, different parameters",Different function names and parameters,Same function name and parameters,"Different function name, same parameters",A
C++ language,28. Which of the following declares a virtual destructor?,virtual ~ClassName();,~ClassName();,virtual void ~ClassName();,void ~ClassName() virtual;,A
C++ language,29. What kind of inheritance is supported in C++?,"Single, Multiple, Multilevel, Hierarchical",Single only,Multiple only,Hierarchical only,A
C++ language,30. Which of the following is NOT a casting operator in C++?,static_cast,reinterpret_cast,dynamic_cast,memory_cast,D
C++ language,31. What access specifier should you use to allow derived classes access but keep members hidden from outside?,protected,private,public,friend,A
C++ language,32. Which of the following is not true about references in C++?,Cannot be null,"Once set, cannot be changed",Can be reseated,Act as aliases,C
C++ language,33. What is the purpose of the inline keyword?,Suggest compiler to inline the function,Marks function as static,Marks function as virtual,Declares function as const,A
C++ language,34. Which of the following correctly creates a vector of integers?,std::vector<int> v;,vector v<int>;,vector<int> v();,int vector<> v;,A
C++ language,35. How do you prevent a class from being inherited in C++?,Use the final specifier,Use const keyword,Use private constructor,Use sealed keyword,A
C++ language,36. What will the expression sizeof(bool) typically return?,1,2,4,8,A
C++ language,37. Which header is required to use std::string?,<string>,<cstring>,<str>,<iostream>,A
C++ language,38. What is the meaning of 'lvalue' in C++?,An expression that refers to a memory location,A value literal,A function call,A constant expression,A
C++ language,39. What’s the difference between struct and class in C++?,Default access specifier is public for struct and private for class,Structs can't have member functions,Classes can't have public members,No difference,A
C++ language,40. When is a destructor called in C++?,When an object goes out of scope or is deleted,When a constructor finishes,When the program ends,When a function returns,A
C++ language,41. Which of the following is NOT a fundamental data type in C++?,bool,char,string,double,C
C++ language,42. What is the output of std::cout << (5 / 2); in C++ when using int literals?,2,2.5,3,0,A
C++ language,43. Which loop is guaranteed to run at least once?,do-while,for,while,foreach,A
C++ language,"44. To enforce creating an abstract base class, you define:",At least one pure virtual function,All functions virtual,Class with protected constructor,A private constructor,A
C++ language,45. Which keyword is used to declare a namespace in C++?,namespace,using,module,package,A
C++ language,46. Which operator is used to access members of a class or structure through a pointer?,->,.,*,&,A
C++ language,47. What does ‘std::move()’ do in C++11?,Enables move semantics,Copies an object,Deletes an object,Allocates memory,A
C++ language,48. Which keyword ensures exception safety by guaranteeing no exceptions from a function?,noexcept,try,catch,throw,A
C++ language,49. What is the size of an empty class in C++?,1,0,Depends on compiler,Undefined,A
C++ language,50. How can you manually call the destructor of an object in C++?,obj.~ClassName();,delete obj;,obj.delete();,destructor(obj);,A
C++ language,51. Which standard C++ header provides smart pointers?,<memory>,<ptr>,<smartptr>,<ptrmem>,A
C++ language,52. What are smart pointers primarily used for?,Automatic memory management,Compile time optimization,Runtime polymorphism,Safe typecasting,A
C++ language,53. Which of the following smart pointers represents unique ownership of an object?,std::unique_ptr,std::shared_ptr,std::weak_ptr,std::auto_ptr,A
C++ language,54. What does std::shared_ptr do?,Provides shared ownership,Gives unique ownership,Points to weak references,Automatically copies data,A
C++ language,55. How do you prevent copying of a class?,Declare copy constructor and assignment operator as deleted,Make them private,No methods needed,Use final keyword,A
C++ language,56. Exception handling in C++ is done using which keywords?,"try, catch, throw","exception, handle","catch, throw","try, except",A
C++ language,57. What is the purpose of the explicit keyword?,Prevents implicit conversions,Marks a function as virtual,Marks a variable as constant,Marks a class as abstract,A
C++ language,58. What is the difference between std::vector and std::list?,"vector is contiguous storage, list is linked list","vector is linked list, list is contiguous",Both are same,vector uses more memory,A
C++ language,59. Which container is best suited for quick lookup by key?,std::map,std::vector,std::list,std::queue,A
C++ language,60. How do you define a multi-line macro?,Using backslash ($$ at line end,Using semicolon,Using double quotes,Using braces,A
C++ language,61. Which of the following is true about static members of a class?,Shared among all objects,Unique to each object,Only private,Only methods,A
C++ language,62. What is the result of typeid operator in C++?,Provides runtime type information,Implements polymorphism,Allocates memory,Checks memory safety,A
C++ language,63. What is a lambda expression used for?,Inline anonymous functions,Macro definitions,Typecasts,Smart pointers,A
C++ language,64. Which C++11 feature allows thread support in the standard library?,<thread>,<async>,<process>,<mutex>,A
C++ language,65. Which keyword indicates that a member function can be called without an object?,static,const,virtual,explicit,A
C++ language,66. Which access specifier allows access only from within the same class?,private,protected,public,friend,A
C++ language,67. What does constexpr indicate?,Compile-time constant evaluation,Runtime constant,Constant pointer,External linkage,A
C++ language,68. What is the use of decltype?,Deduces the declared type of an expression,Declares a variable,Casts variable types,Defines a constant,A
C++ language,69. Which of the following operators is used to access base class methods?,::,.,->,&,A
C++ language,70. What is the purpose of the override keyword?,Indicates overriding a virtual function,Marks function as inline,Declares virtual functions,Used to overload operators,A
C++ language,71. Which of the following is NOT a correct way to initialize a vector?,std::vector<int> v(10);,std::vector<int> v{10};,std::vector<int> v = 10;,All are correct,C
C++ language,72. How can you avoid name conflicts in large projects?,Use namespaces,Use global variables,Ignore conflicts,Use goto statements,A
C++ language,73. Which of the following statements about default constructors is true?,Automatically generated if no constructors defined,Must always be declared,Cannot be overloaded,Always private,A
C++ language,74. How do you delete dynamically allocated memory in C++?,delete,free,dispose,remove,A
C++ language,75. What is the difference between delete and delete[]?,"delete[] is used for arrays, delete for single objects",Both are same,delete is deprecated,delete[] deletes pointers,A
C++ language,76. What keyword makes a variable thread-local?,thread_local,atomic,volatile,mutable,A
C++ language,77. What is the access level of a member declared under public:?,Accessible from anywhere,Accessible only inside class,Accessible only to derived classes,Private,A
C++ language,78. What does the explicit constructor prevent?,Implicit type conversions,Multiple inheritance,Overloading,Copying,A
C++ language,79. Which operator is used to dereference a pointer?,*,&,->,:,A
C++ language,80. What does the 'using' keyword accomplish in C++?,Imports name into current scope,Declares a variable,Defines macro,Declares template,A
C++ language,81. When is a copy constructor called?,When an object is initialized from another object,When a function is called,When an object is destroyed,When variable goes out of scope,A
C++ language,82. Which of the following is the default behavior if a base class function is hidden by derived class?,It is hidden,It causes compilation error,It is overridden,It is inherited,A
C++ language,83. What happens if a function throws an exception but there is no catch block?,Program terminates,Program ignores exception,Exception is suppressed,Undefined behavior,A
C++ language,84. What standard C++ header defines std::exception class?,<exception>,<stdexcept>,<error>,<exceptions>,A
C++ language,85. What is SFINAE principle related to templates?,Substitution Failure Is Not An Error,Template specialization,Overloading rules,Function overriding,A
C++ language,86. How do you declare a function template in C++?,template <typename T> void func(T x);,template void func<T>(T x);,function template void func<T>(T x);,None of the above,A
C++ language,87. Which C++11 feature allows traversal through elements easily?,Range-based for loop,While loop,Do-while loop,Recursive function,A
C++ language,88. How do you define a lambda capturing no variables?,{ /* ... */ },= { /* ... */ },& { /* ... */ },-> void { return; },A
C++ language,89. What does std::forward enable?,Perfect forwarding,Forward declaration,Function overloading,Forward iteration,A
C++ language,90. Which C++11 feature helps avoid raw pointers for arrays?,std::array,std::list,std::vector,std::deque,A
C++ language,91. What is an rvalue reference?,&&,&,*,->,A
C++ language,92. Which keyword is used to prevent overriding of a virtual function?,final,sealed,override,const,A
C++ language,93. How do you declare a pure virtual function?,virtual void func() = 0;,void virtual func() = 0;,virtual void func() {0};,void func() = virtual 0;,A
C++ language,94. What does the std::unique_ptr represent?,Exclusive ownership,Shared ownership,Weak pointer,Raw pointer,A
C++ language,95. How would you create a shared ownership pointer?,std::shared_ptr<int> p(new int(10));,int* p = new int(10);,unique_ptr<int> p(new int(10));,weak_ptr<int> p;,A
C++ language,96. Which of the following is a valid way to declare a type alias?,using MyInt = int;,typedef MyInt int;,alias MyInt int;,type MyInt = int;,A
C++ language,"97. What is a ""dangling pointer""?",Pointer pointing to deleted object,Pointer with NULL value,Smart pointer,Function pointer,A
C++ language,98. What is the keyword to explicitly call a base class constructor?,Base(),super(),Base::Base(),this(),C
C++ language,99. What is the well-known idiom to avoid resource leaks with exceptions?,RAII (Resource Acquisition Is Initialization),Garbage collection,Manual free() calls,None of the above,A
C++ language,100. Which of the following is true about inline functions?,Suggests compiler to inline code,Always inlines code,Only works for classes,Not supported in C++,A
C++ language,101. What does the standard library function std::accumulate do?,Sums elements in a range,Finds maximum element,Sorts elements,Filters elements,A
C++ language,102. Which of the following is true for std::vector capacity management?,Capacity doubles when exceeded,Capacity remains fixed,Automatically shrinks,Capacity reduces gradually,A
C++ language,103. What is the difference between std::map and std::unordered_map?,"map is ordered, unordered_map is not",Both ordered,Both unordered,map is faster,A
C++ language,104. How do you implement encapsulation in C++?,Using private and protected access modifiers,Making all members public,Using global variables,All of the above,A
C++ language,105. Which keyword is used for static polymorphism?,template,virtual,static,polymorphic,A
C++ language,106. What is SFINAE?,Substitution failure is not an error,Special function inlining,Standard function interface,Syntax for initialization,A
C++ language,107. Which of the following is the correct signature for main?,int main(),"int main(int argc, char* argv[])",void main(),main(),B
C++ language,108. What does the auto keyword do in C++11?,Deduces the variable type,Defines a pointer,Defines a constant,Declares a function pointer,A
C++ language,109. What keyword allows functions to be defined inside a class but compiled later?,inline,virtual,explicit,friend,A
C++ language,110. How do you declare a function that cannot be redefined in derived classes?,final,sealed,override,const,A
,,,,,,
,,,,,,
JAVA,Which keyword is used to inherit a class in Java?,extends,implements,inherit,inherits,A
JAVA,What is the default value of a boolean variable in Java?,TRUE,FALSE,0,null,B
JAVA,Which method is the entry point for a Java application?,start(),begin(),main(),run(),C
JAVA,Which of these is not a Java access modifier?,public,package-private,internal,protected,C
JAVA,Which interface must be implemented to create a thread in Java?,Runnable,Serializable,AutoCloseable,Iterable,A
JAVA,Which is the correct way to declare an array in Java?,int arr[];,array[] int;,int[] arr;,both A and C,D
JAVA,What is the size of int in Java?,2 bytes,4 bytes,8 bytes,Depends on platform,B
JAVA,Which of these is NOT a primitive data type in Java?,int,float,enum,boolean,C
JAVA,Java is which type of language?,Compiled and interpreted,Only compiled,Only interpreted,Scripting,A
,Which method is called when an object is created?,finalize(),constructor,init(),create(),B
JAVA,Which exception is thrown if main method is not found?,NoSuchMethodError,NullPointerException,RuntimeException,ClassNotFoundException,A
JAVA,"What is the output of: System.out.println(3 + 4 + ""Hello"");",34Hello,7Hello,Hello34,Error,B
JAVA,Which keyword is used to prevent inheritance in Java?,sealed,final,static,private,B
JAVA,Which of the following is not a loop in Java?,for,do-while,until,while,C
JAVA,The wildcard character in Java generics is represented by?,#,*,?,&,C
JAVA,Which of these is NOT a checked exception?,IOException,SQLException,NullPointerException,FileNotFoundException,C
JAVA,What is the parent class of all classes in Java?,object,java.lang.Object,Object,Base,B
JAVA,Which method would you override to define how your object should be compared for equality?,equals(),compare(),hashCode(),compareTo(),A
JAVA,Which of the following is not part of Java's OOP concepts?,Inheritance,Polymorphism,Encapsulation,Pointer arithmetic,D
JAVA,Which package is automatically available to all Java programs?,java.io,java.lang,java.util,java.awt,B
JAVA,Which of the following is used to generate documentation in Java?,javap,javac,javadoc,java.exe,C
JAVA,"What will the following code output? System.out.println(10 + 20 + ""20"");",3020,102020,1020,30 20,A
JAVA,Which keyword is used to implement multiple inheritance in Java?,extends,implements,virtual,interface,B
JAVA,Which exception is thrown when dividing by zero?,SQLException,ArithmeticException,IOException,DivideByZeroException,B
JAVA,For which method does garbage collection NOT guarantee execution?,finalize(),destructor,close(),dispose(),A
JAVA,Which of the following can access private members of a class?,Same class methods,Subclass,Different package,None of these,A
JAVA,Which is a valid method signature for main in Java?,public static void main(String[] args),static public void main(String args[]),public void main(String[] args),Both A and B,D
JAVA,Which operator is used to compare two values for equality?,==,=,equals,is,A
JAVA,What is the scope of a variable declared inside a method?,Global,Local,Static,Class,B
JAVA,Which of these collections maintains insertion order?,HashSet,TreeSet,LinkedHashSet,PriorityQueue,C
JAVA,Which method is used to start a Thread in Java?,init(),run(),start(),execute(),C
JAVA,Which access modifier makes members accessible within the same package only?,private,protected,public,default (no modifier),D
JAVA,Which operator is used for string concatenation in Java?,+,.,&,concat,A
JAVA,"What is the result of ""Hello"".charAt(1)?",H,e,l,o,B
JAVA,What is JVM short for?,Java Virtual Machine,Java Verified Memory,Java Variable Manager,Java Valued Method,A
JAVA,Which collection implements Map and maintains order by keys?,HashMap,TreeMap,HashSet,LinkedList,B
JAVA,What does the 'super' keyword reference?,Parent class,Current object,Subclass,Interface,A
JAVA,Which is the correct statement to read a file in Java?,FileReader,FileStream,FileRead,openFile,A
JAVA,Java supports:,Multi-level inheritance,Multiple inheritance,Multiple class,None,A
JAVA,What happens if you try to cast a superclass object to a subclass?,ClassCastException,Compilation error,No error,NullPointerException,A
JAVA,Which method closes an open Scanner object?,finish(),terminate(),close(),end(),C
JAVA,How to create an immutable class in Java?,final class,final variables,Private constructors,All of the above,D
JAVA,Which is a wrapper class for primitive type int?,Int,Integer,intWrapper,WrapperInt,B
JAVA,Which is not a valid identifier in Java?,_name,$name,2name,name2,C
JAVA,Which functional interface is used in lambda expressions for a single parameter and return?,Runnable,Supplier,Function,Predicate,C
JAVA,What will be the output: System.out.println(3>2<1);,TRUE,FALSE,Compilation error,0,C
JAVA,Java's ArrayList is part of which package?,java.array,java.util,java.collection,java.list,B
JAVA,What is the highest superclass of exceptions in Java?,Throwable,Exception,Error,SuperException,A
JAVA,Which statement declares a 2D array correctly?,int arr[][],int[][] arr,int arr,All of the above,D
JAVA,Which among these is not a feature of Java?,Platform Independent,Multithreaded,Pointer Arithmetic,Object-oriented,C
JAVA,How to prevent method overriding in Java?,static,sealed,final,abstract,C
JAVA,What is returned by System.exit(0)?,TRUE,0,No value,void,C
JAVA,Which of these is true about an abstract class in Java?,Cannot be instantiated,Can have methods,Can have constructors,All of the above,D
JAVA,"Which method is used to compare strings, ignoring case?",equals,compareToIgnoreCase,equalsIgnoreCase,compare,C
JAVA,Java supports ... types of polymorphism?,1,2,3,4,B
JAVA,What is the parent class of all exception classes?,Throwable,Exception,Error,RuntimeException,A
JAVA,Which class is used for dynamic arrays in Java?,DynamicArray,ArrayList,LinkedList,HashSet,B
JAVA,What is a correct way to instantiate an object?,new Classname(),Classname obj;,obj = new Classname,new Classname,A
JAVA,"To serialize an object in Java, which interface must be implemented?",Serializable,Cloneable,Runnable,Externalizable,A
JAVA,Which method is used to remove the last element from an ArrayList?,removeLast(),deleteLast(),remove(),pop(),C
JAVA,"What will ""null"" + 1 + 2 return?","""null12""",null3,Compilation error,"""12null""",A
JAVA,Which interface provides random access in Java Collections?,List,RandomAccess,Set,Collection,B
JAVA,Which of these statements about interfaces is false?,Cannot have constructors,All methods abstract,Can have static methods,Can be instantiated,D
JAVA,The Java keyword synchronized is used for,Thread synchronization,Memory management,Garbage Collection,IO streams,A
JAVA,Which exception is never checked?,IOException,IllegalArgumentException,SQLException,FileNotFoundException,B
JAVA,"To catch all exceptions, which catch block do you use?",catch(),catch (Throwable e),catch (Exception e),catch (Error e),B
JAVA,What happens if you try to access an array index out of bounds?,ArrayIndexException,ArrayIndexOutOfBoundsException,NullPointerException,RuntimeException,B
JAVA,Which is NOT a valid access modifier in Java?,public,private,protected,friend,D
JAVA,Which method is used to get the current thread in Java?,thisThread(),currentThread(),getThread(),nowThread(),B
JAVA,Java uses which memory management technique?,Manual allocation,Garbage Collection,Reference counting,Dynamic Storage,B
JAVA,How many values can a method return in Java?,1,2,0,unlimited,A
JAVA,Which keyword is used to import classes in Java?,using,include,import,require,C
JAVA,Which among these is not a primitive type?,int,short,string,long,C
JAVA,Which thread state is not valid?,New,Runnable,Dead,Sleeping,D
JAVA,StringBuffer are ____ in Java.,immutable,fixed-size,mutable,constant,C
JAVA,Which method is used to search for a pattern using regex in Java?,Pattern.search,Pattern.find,Matcher.matches,Pattern.matches,D
JAVA,Which of these is an unchecked exception?,IOException,SQLException,NullPointerException,FileNotFoundException,C
JAVA,Where does the 'break' statement transfer control?,Loops/switch,Methods,Functions,Classes,A
JAVA,Which exception occurs when you try to use a null reference?,NullPointerException,IOException,SQLException,Exception,A
JAVA,Which method writes a string to the console without advancing to the next line?,println(),print(),printf(),show(),B
JAVA,How do you create a constant in Java?,final,constant,static,const,A
JAVA,Which is the default value of an object reference defined as an instance variable?,null,0,undefined,empty String,A
JAVA,What will be the output: int x = 5; System.out.println(++x);,5,6,7,Error,B
JAVA,Which class is used for reading bytes in Java?,ByteReader,InputStream,FileReader,Scanner,B
JAVA,What access modifier is most restrictive?,private,protected,public,default,A
JAVA,Which of the following is not a method of the Thread class?,start(),run(),sleep(),wait(),D
JAVA,Java passes parameters by,value,reference,"value for primitives, reference for objects",value and reference,A
JAVA,Which operator is used to allocate memory to an object?,malloc,new,create,alloc,B
JAVA,Which collection does not allow duplicate elements?,Set,List,Map,ArrayList,A
JAVA,Which layout manager is the default for JFrame?,FlowLayout,BorderLayout,GridLayout,BoxLayout,B
JAVA,Which class is used to handle files in Java?,FileHandler,File,Files,FileObject,B
JAVA,Which keyword is used to stop the execution of a loop?,end,quit,break,continue,C
JAVA,Which of these is a valid functional interface?,Predicate,Comparator,Both A and B,Runnable,C
JAVA,Which annotation is used to override a method?,@Override,@Inherited,@Overload,@Method,A
JAVA,How do you compare two strings in Java?,==,equals(),equalsIgnoreCase(),all of the above,D
JAVA,Method overloading is:,"Same name, different params","Same name, same params","Different name, same params","Same name, different return type",A
JAVA,Which is NOT a wrapper class?,Byte,Integer,Float,Int,D
JAVA,How to create a thread by extending?,extends Thread,implements Thread,new Thread,implements Runnable,A
